id,name,email,password_hash,role,created_at
1,Nguyen Anh,anhnguyen1@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-02-28 03:19:06
2,Nguyen Binh,binhnguyen2@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-09-24 06:41:18
3,Nguyen Chi,chinguyen3@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-10-12 13:13:26
4,Nguyen Dung,dungnguyen4@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-07-26 13:07:10
5,Nguyen Hanh,hanhnguyen5@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2025-07-18 12:47:26
6,Nguyen Hieu,hieunguyen6@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-04-22 09:35:13
7,Nguyen Hoa,hoanguyen7@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-07-20 18:43:48
8,Nguyen Khanh,khanhnguyen8@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2025-04-18 15:07:53
9,Nguyen Lam,lamnguyen9@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2025-05-29 18:28:48
10,Nguyen Linh,linhnguyen10@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-05-25 03:22:14
11,Nguyen Long,longnguyen11@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2026-01-03 12:49:30
12,Nguyen Mai,mainguyen12@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2025-03-12 18:44:51
13,Nguyen Minh,minhnguyen13@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2025-03-07 01:53:50
14,Nguyen Nam,namnguyen14@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-06-03 18:21:21
15,Nguyen Nga,nganguyen15@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-01-28 22:07:01
16,Nguyen Nhi,nhinguyen16@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-08-19 01:28:50
17,Nguyen Phong,phongnguyen17@gmail.com,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,CUSTOMER,2024-06-29 15:36:52
